STATUS,sEXT,sNEU,sAGR,sCON,sOPN,SENTIMENT
wish experi would work she lab especi she stay past normal go home time,3.75,2.35,3.7,4.0,4.2,0.4019
must eat lot sticki crunchi food thursday morn,3.75,2.35,3.7,4.0,4.2,0.0
rehaul facebookwarningwarninginform photo may disappear,3.75,2.35,3.7,4.0,4.2,-0.2263
go eat ice cream cake lunch,3.75,2.35,3.7,4.0,4.2,0.0
28 teeth left rate loss 2decad shell toothless age 160not bad current cannot grinsmil,3.75,2.35,3.7,4.0,4.2,-0.802
sing christma song,3.75,2.35,3.7,4.0,4.2,0.0
hungri,3.75,2.35,3.7,4.0,4.2,0.0
go see chines danc futur,3.75,2.35,3.7,4.0,4.2,0.0
alreadi hard work,3.75,2.35,3.7,4.0,4.2,-0.1027
rewatch first half knock knock love portion worth watch,3.75,2.35,3.7,4.0,4.2,0.7269
sore muscl danc hard weekend,3.75,2.35,3.7,4.0,4.2,-0.4404
want nap,3.75,2.35,3.7,4.0,4.2,0.0772
final made part iii propnam immunobiolog book,3.75,2.35,3.7,4.0,4.2,0.0
believ bad thing come three proverb,3.75,2.35,3.7,4.0,4.2,-0.5423
super excit first day danc practic,3.75,2.35,3.7,4.0,4.2,0.5994
awe 30 minut tripl ram 3,3.75,2.35,3.7,4.0,4.2,0.0
keep lab notebook uptod,3.75,2.35,3.7,4.0,4.2,0.0
hasnt yet watch week episod castl thu fail life,3.75,2.35,3.7,4.0,4.2,-0.5423
must work hard today go home super heavi snowfal start,3.75,2.35,3.7,4.0,4.2,0.5423
plan visit orlando harri potter sun april long weekend go patriot day,3.75,2.35,3.7,4.0,4.2,0.0
first day work rough nice rough,2.9,3.75,3.15,3.35,4.75,0.4215
hate person downstair im tri work dont need sing vocales your gargl sink mean realli,2.9,3.75,3.15,3.35,4.75,-0.5719
iphon 30 releas day late fu,2.9,3.75,3.15,3.35,4.75,-0.6908
3 propnam ginger candi,2.9,3.75,3.15,3.35,4.75,0.0
mad fair end mud anyth els,2.9,3.75,3.15,3.35,4.75,-0.2263
mad store wonton roll fri springrol wrapper work,2.9,3.75,3.15,3.35,4.75,-0.4939
motorola s305,2.9,3.75,3.15,3.35,4.75,0.0
gf like everyth appar,2.9,3.75,3.15,3.35,4.75,0.3612
set mobil router way easier thought would,2.9,3.75,3.15,3.35,4.75,0.4215
bad person,2.9,3.75,3.15,3.35,4.75,-0.5423
world rock ht820,2.9,3.75,3.15,3.35,4.75,0.0
amaz effect individu updat get rid possess singl photo album two piec furnitur go,2.9,3.75,3.15,3.35,4.75,0.0
final rememb mean summertim friday night,2.9,3.75,3.15,3.35,4.75,0.0
awesom 4th,2.9,3.75,3.15,3.35,4.75,0.0
talk guy today convinc chemic engin mix element make thing use chemic might make sens didnt mean liter oh well,2.9,3.75,3.15,3.35,4.75,0.2732
want free stuff get rid less move dresser coat rack shelv desk bathroom stereo realli peopl your favor take,2.9,3.75,3.15,3.35,4.75,0.743
set network print even though everyon said imposs ha,2.9,3.75,3.15,3.35,4.75,0.34
want free tv pleas come take,2.9,3.75,3.15,3.35,4.75,0.5574
im still mad got jazz band good one even cant thermo first temr colleg get play music grawwwwwwwwww,2.9,3.75,3.15,3.35,4.75,0.2732
made eggrol right way,2.9,3.75,3.15,3.35,4.75,0.0
free shelv,2.9,3.75,3.15,3.35,4.75,0.5106
3s feed time aquarium,2.9,3.75,3.15,3.35,4.75,0.0
sick remov quiz result news feed pleas friend share one reeeeaaaaaaali like,2.9,3.75,3.15,3.35,4.75,0.5574
know grad school effect read vend machin select cnaught mmm ritz bit,2.9,3.75,3.15,3.35,4.75,0.0
got drunk german suit mayb there someth grad dorm,2.9,3.75,3.15,3.35,4.75,-0.34
tea,2.9,3.75,3.15,3.35,4.75,0.0
westbound mass pike see sign springfield albani almost like oregon,2.9,3.75,3.15,3.35,4.75,0.2975
next term ill lab get scienc everi day cube get homework everi day,2.9,3.75,3.15,3.35,4.75,-0.4215
im sorri manomet devic goe propnam nearbi,2.9,3.75,3.15,3.35,4.75,0.0
sure hope ventur bro goe season 5,2.9,3.75,3.15,3.35,4.75,0.6369
split raw almond mouth halv complet smooth insid never lose novelti,2.9,3.75,3.15,3.35,4.75,0.3089
thought everyon might like know vote biggest nerd che,2.9,3.75,3.15,3.35,4.75,0.0772
damn feeder valv keep clog,2.9,3.75,3.15,3.35,4.75,-0.4019
lhc 2 beam woooooo,2.9,3.75,3.15,3.35,4.75,0.0
whaaaat actual like avatar,2.9,3.75,3.15,3.35,4.75,0.3612
find frustrat non friend post pictur friend leav without option leav snarki comment grumbl,2.9,3.75,3.15,3.35,4.75,0.7506
itll take lot convinc ill even think watch caprica reimagin battlestar kma might chang mind writter demonstr theyr capabl keep plot detail straight whole seri thought anyon,2.9,3.75,3.15,3.35,4.75,-0.2263
highli reccommend propnam propnam rule,2.9,3.75,3.15,3.35,4.75,0.0
woot one craigslist adventur one go,2.9,3.75,3.15,3.35,4.75,0.4215
wonder peopl dont say twenti ten,2.9,3.75,3.15,3.35,4.75,0.0
damn boxcutt,2.9,3.75,3.15,3.35,4.75,-0.4019
got jazz band rehears 230 bu home get horn much get work done today,2.9,3.75,3.15,3.35,4.75,0.0
high swing danc cept realli late,2.9,3.75,3.15,3.35,4.75,0.0
imposs sit tub shower feel emo,2.9,3.75,3.15,3.35,4.75,0.0
wow campu eye doctor realli fast go umass,2.9,3.75,3.15,3.35,4.75,0.5859
broke 900 piec equip today sigh live learn,2.9,3.75,3.15,3.35,4.75,-0.4019
woo new glass readi next week,2.9,3.75,3.15,3.35,4.75,0.4767
went skateboard first time life itll day practic make campu,2.9,3.75,3.15,3.35,4.75,0.0
realiz lot easier breath dont live grassse capit world,2.9,3.75,3.15,3.35,4.75,0.4215
save wolfram alpha,2.9,3.75,3.15,3.35,4.75,0.4939
glad propnam taken respons happen dont worri propnam im mad,2.8,1.6,3.65,3.25,4.15,-0.0516
miss ithacan winter hot weather suck chicago better freezer,2.8,1.6,3.65,3.25,4.15,-0.1531
play quidditch awesom,2.8,1.6,3.65,3.25,4.15,0.34
holi crap propnam reward program let get free chocol store everi month awesom,2.8,1.6,3.65,3.25,4.15,0.6597
start job tomorrow goodby freetimesvil hello moneytown station,2.8,1.6,3.65,3.25,4.15,0.0
cant help smile,2.8,1.6,3.65,3.25,4.15,-0.5216
like new job far cours kid yet arriv,2.8,1.6,3.65,3.25,4.15,0.3612
name im say symptom awesom day,2.8,1.6,3.65,3.25,4.15,0.0
go miss,2.8,1.6,3.65,3.25,4.15,-0.1531
dream come true last night dreamt eat cinnamon bun today ate cinnamon bun,2.8,1.6,3.65,3.25,4.15,0.5859
know tie hous togeth world revolv around us,2.8,1.6,3.65,3.25,4.15,0.0
lead activ date etiquettewish luck,2.8,1.6,3.65,3.25,4.15,0.4588
sad weekend cant wait sunday 7pm,2.8,1.6,3.65,3.25,4.15,-0.4767
go nuke site orbit way sure,2.8,1.6,3.65,3.25,4.15,0.3182
get paperbefor monster right,2.8,1.6,3.65,3.25,4.15,0.0
think hell start prussiastyl diari statu updat remind choic final act upon,2.8,1.6,3.65,3.25,4.15,-0.6808
current preptast,2.8,1.6,3.65,3.25,4.15,0.0
hey rhode island friend rock provid what best italian place citi,2.8,1.6,3.65,3.25,4.15,0.8126
sick start letter dear friend dear im use differ adject antiestablish propnam sign propnam screw convent,2.8,1.6,3.65,3.25,4.15,0.5719
done hooray,2.8,1.6,3.65,3.25,4.15,0.5106
want asleep isnt damn notterr work ethic,2.8,1.6,3.65,3.25,4.15,0.3732
go research reactor tomorrow yay,2.8,1.6,3.65,3.25,4.15,0.5267
think tonight old colleg town,2.8,1.6,3.65,3.25,4.15,0.0
set tomorrow,2.8,1.6,3.65,3.25,4.15,0.0
impress ad side fb get relev without offens sofin ive got ad book like band like movi anim like yay,2.8,1.6,3.65,3.25,4.15,0.9153
grew bolder day day,2.8,1.6,3.65,3.25,4.15,0.296
want cottag chees pastrami sandwich banana bread even sever ruin reput,2.8,1.6,3.65,3.25,4.15,-0.5423
wish everyon happi first day class yayyyyyyy,2.8,1.6,3.65,3.25,4.15,0.4019
great day,2.8,1.6,3.65,3.25,4.15,0.6249
doctor writer witti statu updat damnit,2.8,1.6,3.65,3.25,4.15,-0.5267
doesnt want say goodby next week,2.8,1.6,3.65,3.25,4.15,-0.0572
find fiction much interest imagin actor voic actor peopl instead differ charact holi crap propnam father liquid snake hey look obiwan kenobi help quixot liber arab wwi,2.8,1.6,3.65,3.25,4.15,0.4767
wish cornellian friend good luck tomorrow enjoy wonder place,2.8,1.6,3.65,3.25,4.15,0.9325
want see version propnam stori gift magi one peopl receiv bibl inform friend sold soul satan buy gift,2.8,1.6,3.65,3.25,4.15,0.8519
know want canadian pleas,2.8,1.6,3.65,3.25,4.15,0.0772
pretti good day kayak bughous dodgebal foursquar lap tag plu good convers,2.8,1.6,3.65,3.25,4.15,0.7003
cant help smile,2.8,1.6,3.65,3.25,4.15,-0.5216
look forward new colleg town,2.8,1.6,3.65,3.25,4.15,0.0
one iter closer desir solut,2.8,1.6,3.65,3.25,4.15,0.0
final apart pictur,2.8,1.6,3.65,3.25,4.15,0.0
chicago yay still miss propnam though,2.8,1.6,3.65,3.25,4.15,0.4215
start prussiastyl diari huhthat didnt take long httptodayiwassoawesomewordpresscom,2.8,1.6,3.65,3.25,4.15,0.0
actual danc danc fun,2.8,1.6,3.65,3.25,4.15,0.5106
love propnam,2.8,1.6,3.65,3.25,4.15,0.6369
didnt know chemic jalapeno pepper could make bare skin feel kinda burni huh,2.8,1.6,3.65,3.25,4.15,0.0
monday august 3 anyon want someth,2.8,1.6,3.65,3.25,4.15,0.0772
want fat littl shetland poni complet mission,2.8,1.6,3.65,3.25,4.15,0.0772
start plan thesi,2.8,1.6,3.65,3.25,4.15,0.0
much better first day class expect,2.8,1.6,3.65,3.25,4.15,0.4404
wish ithaca,2.8,1.6,3.65,3.25,4.15,0.4019
get better resist urg ragequit,2.8,1.6,3.65,3.25,4.15,0.4404
love girl name propnam damn stuff delici,2.8,1.6,3.65,3.25,4.15,0.3612
wish friend could burst random song danc like music,2.8,1.6,3.65,3.25,4.15,0.8126
look lot like young lenin ushanka ever realiz,2.8,1.6,3.65,3.25,4.15,0.3612
recent realiz there larg whole theoret structur life may inter work solut,2.8,1.6,3.65,3.25,4.15,0.0
one iter closer desir solut,2.8,1.6,3.65,3.25,4.15,0.0
wonder whether anyon ever done etymolog histori onomatopoeia oink becom popular pig ive seen go reeee fap becom popular accuraci someth els interest question linguist major need paper topic,2.8,1.6,3.65,3.25,4.15,0.8225
never give never surrend,2.8,1.6,3.65,3.25,4.15,0.0
feel rather odinesqu todayin ragnarok sorta way,2.8,1.6,3.65,3.25,4.15,0.0
enjoy chicago immens time pass littl slowli,2.8,1.6,3.65,3.25,4.15,0.4939
want thank tabasco compani list scovil heat unit product think spici food maker follow suit,2.8,1.6,3.65,3.25,4.15,0.4215
wish ithaca get snow,2.8,1.6,3.65,3.25,4.15,0.4019
hit wall work,2.8,1.6,3.65,3.25,4.15,0.0
think he go make truffl tomorrowfor scienc,2.8,1.6,3.65,3.25,4.15,0.0
final start orient seem pretti good far,2.8,1.6,3.65,3.25,4.15,0.4404
final end orient fast perspect social scienc histor method earli modern england class quarter seem,2.8,1.6,3.65,3.25,4.15,0.0
gave product member societi left engin ok social scienc let write cool peopl dont want think topic benefit anyon,2.8,1.6,3.65,3.25,4.15,0.7413
love holst oh much,2.8,1.6,3.65,3.25,4.15,0.6369
poni,2.8,1.6,3.65,3.25,4.15,0.0
feel like koala crap rainbow brain,2.8,1.6,3.65,3.25,4.15,-0.0258
gaze upon face savior monkey wept beauti sight,2.8,1.6,3.65,3.25,4.15,-0.4588
done mapss midterm much happier,2.8,1.6,3.65,3.25,4.15,0.5267
think hell appli pigfart next year,2.8,1.6,3.65,3.25,4.15,-0.6808
leav chicago tomorrow cant wait magic pack fairi would visit,2.8,1.6,3.65,3.25,4.15,0.0
associ russian classic compos christma reason nutcrack stuff either bit odd especi sinc everyon know santa live finland russia,2.8,1.6,3.65,3.25,4.15,-0.3182
found mega xlr itun life got littl bit awesom,2.8,1.6,3.65,3.25,4.15,0.0
readi begin day fuel power french toast read prepar read,2.8,1.6,3.65,3.25,4.15,0.0
mani unknown solv equat hell never stop tri,2.8,1.6,3.65,3.25,4.15,-0.5736
dig giant robot,2.8,1.6,3.65,3.25,4.15,0.0
dear everyon crack open dictionari start use hypothesi theori correctli hard misus word confus stupid peopl need listen make sad,2.8,1.6,3.65,3.25,4.15,-0.6486
lerna esperanton,2.8,1.6,3.65,3.25,4.15,0.0
chourico tastiest delici meat known mankind im go eat crap,2.8,1.6,3.65,3.25,4.15,-0.3818
ama lerni novaj lingvoj,2.8,1.6,3.65,3.25,4.15,0.0
thank wonder friend happi thanksgiv everyon wish could spend everi one,2.8,1.6,3.65,3.25,4.15,0.8126
alright holst listen im go see music tomorrow dont want anyth supernatur prevent got im sick crap,2.8,1.6,3.65,3.25,4.15,-0.6152
danc last night start becom pattern,2.8,1.6,3.65,3.25,4.15,0.0
rememb time abl easili find class school actual shit togeth manag central locat cours descript,2.8,1.6,3.65,3.25,4.15,-0.5574
good morn case dont see ya good afternoon good even good night,2.8,1.6,3.65,3.25,4.15,0.891
read past mourn futur,2.8,1.6,3.65,3.25,4.15,-0.4215
love better anybodi see seldom often happen worldpropnam,2.8,1.6,3.65,3.25,4.15,0.7964
finish skeleton draft hooray suck essay,2.8,1.6,3.65,3.25,4.15,0.1027
hal aliv time 2010 conveni enough sure im gonna keep cuz he miss ms word eh internet,2.8,1.6,3.65,3.25,4.15,0.1779
ganach delici,2.8,1.6,3.65,3.25,4.15,0.0
dear onlin dictionari maker let peopl search text entri entri word make dictionari like human brain let search make thing find word includ word definit would rock love propnam,2.8,1.6,3.65,3.25,4.15,0.8519
enemi thought thing alway happen,2.8,1.6,3.65,3.25,4.15,0.0
feel weird librari final week patron,2.8,1.6,3.65,3.25,4.15,-0.1779
holi crap hilari httpwwwstandforchristmascompageshom read review bigot moron think like read offens one theyr best,2.8,1.6,3.65,3.25,4.15,0.2263
start wonder whether eye reflect light nearinfrar spectrum someth that sight human visibl camera cuz man photo go would swear eye red,2.8,1.6,3.65,3.25,4.15,-0.0516
pack hooray one quarter two go,2.8,1.6,3.65,3.25,4.15,0.5106
fill diari refer dinosaur bigfoot way world end futur historian diari primari sourc theyll think least world awesom end care trick futur believ era awesomest ever encourag togeth,2.8,1.6,3.65,3.25,4.15,0.4588
im home wheee,2.8,1.6,3.65,3.25,4.15,0.0
one paper submit two go,2.8,1.6,3.65,3.25,4.15,0.0
rip hal 9000 think successor name metal gear,2.8,1.6,3.65,3.25,4.15,0.2263
melodramat sister world,2.8,1.6,3.65,3.25,4.15,0.0
got mind blown appar propnam salut short rich girl play chineseamerican actress total never notic ever thank wwwtvtropesorg show terribl memori,2.8,1.6,3.65,3.25,4.15,0.598
begin miss chicago friend,2.8,1.6,3.65,3.25,4.15,0.3818
dread mortal walk empti aisl librari admir volum yet know life never last long enough enjoy,2.8,1.6,3.65,3.25,4.15,0.0516
let see honest fb friend leav one word comment think best describ one word one word copi past post wall leav word interest,2.8,1.6,3.65,3.25,4.15,0.9287
want get hyde park,2.8,1.6,3.65,3.25,4.15,0.0772
want best like one ever,2.8,1.6,3.65,3.25,4.15,0.7906
bit christma cute httpwwwwatchanimeoncomaxispowershetaliaiiepisode28,2.8,1.6,3.65,3.25,4.15,0.4588
becom chef,2.8,1.6,3.65,3.25,4.15,0.0
wonder whether love bloom even battlefield,2.8,1.6,3.65,3.25,4.15,0.3818
merri christma everyon,2.8,1.6,3.65,3.25,4.15,0.0
well crap comput softwar current corrupt someth wont work right two hell week begin wheeee anyon chicago copi window xp profession edit cd borrow reinstal stuff,2.8,1.6,3.65,3.25,4.15,-0.5423
back chicago,2.8,1.6,3.65,3.25,4.15,0.0
new year resolut negat everyon els resolut,2.8,1.6,3.65,3.25,4.15,0.0
27f feel like 14fah like ithaca feel wonder ye propnam crazi,2.8,1.6,3.65,3.25,4.15,0.6124
research write 12 page term paper 48 hour revis time,2.8,1.6,3.65,3.25,4.15,0.0
three sidebar ad current meet girl think facebook piti,2.8,1.6,3.65,3.25,4.15,0.0
return chicago tomorrow yay,2.8,1.6,3.65,3.25,4.15,0.5267
first day class new quarter hope suddenli loud girl give coronari thrombosi like last quarter,2.8,1.6,3.65,3.25,4.15,0.6597
spring break propnam cornellian want super awesom place visit spring break keep chicago mind,2.8,1.6,3.65,3.25,4.15,0.6369
excel weekend come rock,2.8,1.6,3.65,3.25,4.15,0.4588
happi 150th birthday mr zamenhof thank languag,2.8,1.6,3.65,3.25,4.15,0.3612
portugues pronounc x like sh damnit fault roman chines alway wonder blame,2.8,1.6,3.65,3.25,4.15,-0.7184
wonder whether professor propnam would let write term paper fanfict use theori read,2.8,1.6,3.65,3.25,4.15,0.0
welch bluse magst du lieber dies oder dies,2.8,1.6,3.65,3.25,4.15,0.0
holi mother microfilm bitch eye dear 1890 learn write normal ms ns look like ws us,2.8,1.6,3.65,3.25,4.15,0.0772
come massachusett guy suppos new english happen,2.8,1.6,3.65,3.25,4.15,0.0
anyon wanna see fli wednesday itll awesom,2.8,1.6,3.65,3.25,4.15,0.0
great day,2.8,1.6,3.65,3.25,4.15,0.6249
geez 18th centuri briton love propnam great much dont marri,2.8,1.6,3.65,3.25,4.15,0.8519
holi crap hiero ii syracus former gener pyrrhu epiru never knew hiero offici titl awesomest friendhav ancient world far im concern pyrrhu archimed least go hiero your hero,2.8,1.6,3.65,3.25,4.15,0.25
cant wait next weekend even get evalu,2.8,1.6,3.65,3.25,4.15,0.0
ask one question send inbox question anyth matter awkward ill answer honestli catch dare put statu see peopl ask cant resist dare,2.8,1.6,3.65,3.25,4.15,-0.5106
art museum sorri propos ill work laterprob,2.8,1.6,3.65,3.25,4.15,-0.4215
whutta whutta whutta whutta,2.8,1.6,3.65,3.25,4.15,0.0
wish happi valentin day care hope friend know much mean,2.8,1.6,3.65,3.25,4.15,0.9001
look forward weekend,2.8,1.6,3.65,3.25,4.15,0.0
see propnam propnam got awesom gift mail today learn construct book wheel today like megaawesom,2.8,1.6,3.65,3.25,4.15,0.6597
guess last goodby dont care wont cri youll sorri im dead guilt head guess youd call suicid im full swallow pride,3.5,1.75,4.75,3.0,4.25,-0.7669
rip mj,3.5,1.75,4.75,3.0,4.25,0.0
3 sumir,3.5,1.75,4.75,3.0,4.25,0.0
rip propnam,3.5,1.75,4.75,3.0,4.25,0.0
walk morn dont believ saw hundr billion bottl wash shore seem im alon alon hundr billion castaway look home,3.5,1.75,4.75,3.0,4.25,0.0
alway knew make cri never ask question seem get kick hurt dont tri understand word arent enough love feel give want quench de,3.5,1.75,4.75,3.0,4.25,-0.7556
tokyo,3.5,1.75,4.75,3.0,4.25,0.0
went dinner man happen host true stori,3.5,1.75,4.75,3.0,4.25,0.4215
hey american phone offici dont call text anymor k,3.5,1.75,4.75,3.0,4.25,0.0
live beauti world hide away peac sky surviv time word feel night pass,3.5,1.75,4.75,3.0,4.25,-0.1779
ive final gotten around upload japan pictur far know unbeliev amount forgiv love take pic enjoy,3.5,1.75,4.75,3.0,4.25,0.8126
allianc n intern polit union two thiev hand deepli insert other pocket cannot separ plunder third,3.5,1.75,4.75,3.0,4.25,0.4939
miss teach elementari school thursday sad,3.5,1.75,4.75,3.0,4.25,-0.5719
want fall love,3.5,1.75,4.75,3.0,4.25,0.6705
woke late didnt get eat breakfast today sad im hungri,3.5,1.75,4.75,3.0,4.25,-0.4767
want someon buy dinner,3.5,1.75,4.75,3.0,4.25,0.0772
greatest happi scatter enemi drive see citi reduc ash see love shroud tear gather bosom wive daughter,3.5,1.75,4.75,3.0,4.25,0.8555
alway make rule let fellow fire first man want fight argu question tri show foolish would cant dissuad fun begin alway let first crack fire see verdict selfdef side know pretti certain hurri miss never,3.5,1.75,4.75,3.0,4.25,-0.8317
want love dont seem love im wander aimlessli within repetit answer found one even im scare even im hurt ill say love person love,3.5,1.75,4.75,3.0,4.25,0.8658
bore,3.5,1.75,4.75,3.0,4.25,-0.25
want see right even though want shout longer say even tri forc cant catch back use armsbut your gone,3.5,1.75,4.75,3.0,4.25,0.1531
miss,3.5,1.75,4.75,3.0,4.25,-0.1531
absenc order find someth kill propnam,3.5,1.75,4.75,3.0,4.25,-0.6908
ship fight crew girl lip like wine that ever ask lick wound bulli break cask ale your go work ship never work danc sing buckl damn devil empti sea bound water seaport fat merchant ship cram plunder,3.5,1.75,4.75,3.0,4.25,-0.802
lupin like mr huttl origin sometim wonder idea idea danger make men extrem rich extrem poor make break men alway feel peopl happier live simpl unsophist life believ happi ambiti,3.5,1.75,4.75,3.0,4.25,0.4588
like fire hellfir fire skin burn desir turn sin fault im blame gypsi girl witch sent flame fault god plan made devil much stronger man,3.5,1.75,4.75,3.0,4.25,-0.9423
last christma gave heart next day gave away year save tear ill give someon special,3.5,1.75,4.75,3.0,4.25,0.4767
hope survivor haiti receiv aid quickli,3.5,1.75,4.75,3.0,4.25,0.6597
tokyo 10th anyon want entertainb entertain im,3.5,1.75,4.75,3.0,4.25,0.3818
like asahi super dri much,3.5,1.75,4.75,3.0,4.25,0.7506
face,3.5,1.75,4.75,3.0,4.25,0.0
slowli walk hall faster cannonbal get high someday find caught beneath landslid champagn supernova sky,3.5,1.75,4.75,3.0,4.25,0.0
tokyo wednesday morn anyon want hang,3.5,1.75,4.75,3.0,4.25,0.0772
nyc tomorrow,3.75,2.0,4.5,4.0,3.75,0.0
get readi wrap first week nyc,3.75,2.0,4.5,4.0,3.75,0.0
cannot wait friday,3.75,2.0,4.5,4.0,3.75,0.0
one week left,3.75,2.0,4.5,4.0,3.75,0.0
head cross countri,3.75,2.0,4.5,4.0,3.75,0.0
cant wait ithaca tomorrow,3.75,2.0,4.5,4.0,3.75,0.0
nyc incommunicado 24 hour cant wait,3.75,2.0,4.5,4.0,3.75,0.0
first day school,3.75,2.0,4.5,4.0,3.75,0.0
there guam quarter,3.75,2.0,4.5,4.0,3.75,0.0
best discoveri wegman 10 minut hous,3.75,2.0,4.5,4.0,3.75,0.6369
what pa inspect standard,3.75,2.0,4.5,4.0,3.75,0.0
longest day everbut great see mani hc peopl,3.75,2.0,4.5,4.0,3.75,0.6249
ventur world high school footbal go lion,3.75,2.0,4.5,4.0,3.75,0.0
make applecarrot muffin like one busi,3.75,2.0,4.5,4.0,3.75,0.3612
2 month,3.75,2.0,4.5,4.0,3.75,0.0
head princeton watch littl bro row first race go big red,3.75,2.0,4.5,4.0,3.75,0.0
made kickass shrimp penn arribiatalik dish watch game,3.75,2.0,4.5,4.0,3.75,0.0
back de dover race tomorrow,3.75,2.0,4.5,4.0,3.75,0.0
tea lunch pumpkin bread muffin school,3.75,2.0,4.5,4.0,3.75,0.0
want 1 month 2 week,3.75,2.0,4.5,4.0,3.75,0.0772
delawarebound hour,3.75,2.0,4.5,4.0,3.75,0.0
h1n1,3.75,2.0,4.5,4.0,3.75,0.0
book ticket germani winter break head ithaca tomorrow homecom life good,3.75,2.0,4.5,4.0,3.75,0.4404
3 week,3.75,2.0,4.5,4.0,3.75,0.0
last day school new year 3 day,3.75,2.0,4.5,4.0,3.75,0.0
need make thursday,3.75,2.0,4.5,4.0,3.75,0.0
rip raccoon driveway morn,3.75,2.0,4.5,4.0,3.75,0.0
realli miss 130 linden right,3.75,2.0,4.5,4.0,3.75,-0.1531
snow,3.75,2.0,4.5,4.0,3.75,0.0
back state side wonder trip,3.75,2.0,4.5,4.0,3.75,0.0
nyc time tomorrow,3.75,2.0,4.5,4.0,3.75,0.0
nine tagen,3.75,2.0,4.5,4.0,3.75,0.0
potsdam,3.75,2.0,4.5,4.0,3.75,0.0
phl txl,3.75,2.0,4.5,4.0,3.75,0.0
black ps dc tomorrow,3.75,2.0,4.5,4.0,3.75,0.0
love back mid atlant high school 2 hour delay 3 inch snow possibl,3.75,2.0,4.5,4.0,3.75,0.4404
vegetarian chili bean littl one,3.75,2.0,4.5,4.0,3.75,0.0
check habitat human,3.75,2.0,4.5,4.0,3.75,0.0
snow germani,3.75,2.0,4.5,4.0,3.75,0.0
made kickass veggi lasagna,3.75,2.0,4.5,4.0,3.75,0.0
snow day,3.75,2.0,4.5,4.0,3.75,0.0
hous smell like hickori fall,3.75,2.0,4.5,4.0,3.75,0.3612
gave heart gave pictur old time sheriff,3.75,2.0,4.5,4.0,3.75,0.0
fabul weekend,3.75,2.0,4.5,4.0,3.75,0.0
stuck home old bore thingagain,3.3,2.8,3.35,4.25,3.5,-0.4588
im draw pictur promis jonna turn nice hope like,3.3,2.8,3.35,4.25,3.5,0.802
someon go get soo bad later ugh,3.3,2.8,3.35,4.25,3.5,-0.743
took placement test today ddi better expect,3.3,2.8,3.35,4.25,3.5,0.4404
look forward vb next month 3,3.3,2.8,3.35,4.25,3.5,0.0
rcc orient tomorrow morn,3.3,2.8,3.35,4.25,3.5,0.0
rockin grandma style new caryo haha,3.3,2.8,3.35,4.25,3.5,0.4588
sad vb yearcant wait til next year,3.3,2.8,3.35,4.25,3.5,-0.4767
saw mamma mia first time today like,3.3,2.8,3.35,4.25,3.5,0.0772
excit mom get home tomorrow,3.3,2.8,3.35,4.25,3.5,0.0
misael teah littl self defens hahaha,3.3,2.8,3.35,4.25,3.5,0.5574
one day vb,3.3,2.8,3.35,4.25,3.5,0.0
black hair,3.3,2.8,3.35,4.25,3.5,0.0
tri pass time maddi regist,3.3,2.8,3.35,4.25,3.5,0.0
week gonna sooo much funn,3.3,2.8,3.35,4.25,3.5,0.0
disneyland tomorrow go maddi go awesom,3.3,2.8,3.35,4.25,3.5,0.0
feel soooo much better,3.3,2.8,3.35,4.25,3.5,0.4404
realli cant wait til next week vb live maddi hahahahaha,3.3,2.8,3.35,4.25,3.5,0.0
go movi,3.3,2.8,3.35,4.25,3.5,0.0
hate hous nowher gough,3.3,2.8,3.35,4.25,3.5,-0.5719
good day today,3.3,2.8,3.35,4.25,3.5,0.4404
saw old friend propnam today lot catchin,3.3,2.8,3.35,4.25,3.5,0.4939
goin watch band perform first perform today haha,3.3,2.8,3.35,4.25,3.5,0.4588
happi maddi,3.3,2.8,3.35,4.25,3.5,0.0
kyle die hair,3.3,2.8,3.35,4.25,3.5,-0.5994
super tire class 7 wont home til around 6,3.3,2.8,3.35,4.25,3.5,0.5994
ahhhh hate cold ugh,3.3,2.8,3.35,4.25,3.5,-0.7579
your go rcc log webadvisor make sure didnt get drop class 3000 student got drop pay,3.3,2.8,3.35,4.25,3.5,0.5466
discov life goal surgeon,3.3,2.8,3.35,4.25,3.5,0.0
need get hair recolor ahhhhhhhhhhhh,3.3,2.8,3.35,4.25,3.5,0.0
physic test monday histori midterm wednesday funn stuffnot,3.3,2.8,3.35,4.25,3.5,0.0
exhaust readi bedblahhhhhh,3.3,2.8,3.35,4.25,3.5,-0.296
im home final yayyyi hope ok test,3.3,2.8,3.35,4.25,3.5,0.6249
good morn starshin earth say hellop,3.3,2.8,3.35,4.25,3.5,0.4404
exhaust im readi sleep,3.3,2.8,3.35,4.25,3.5,-0.296
surrog realli good movi,3.3,2.8,3.35,4.25,3.5,0.4404
loong day tomorrow look forward hope ok mid term histori p,3.3,2.8,3.35,4.25,3.5,0.6249
found 14 year school want follow orthoped surgeon thing,3.3,2.8,3.35,4.25,3.5,0.0772
loong lazi day ive mani oh well hope tomorrow better,3.3,2.8,3.35,4.25,3.5,0.7845
ugh dont feel good againugh,3.3,2.8,3.35,4.25,3.5,-0.6377
made fresh chocol chip cookiesyummmmyyi,3.3,2.8,3.35,4.25,3.5,0.3182
today feel like forev,3.3,2.8,3.35,4.25,3.5,0.3612
got transform shirt cuut,3.3,2.8,3.35,4.25,3.5,0.0
