STATUS,sEXT,sNEU,sAGR,sCON,sOPN
wonder heck last week comput hard drive die minut ago got blue screen death directv box say problem detect hard drive cool,2.25,2.75,4.5,4.25,2.5
fantast day hang friend shop relax couch read bit,2.25,2.75,4.5,4.25,2.5
busi day time nap possibl carv pumpkin even,2.25,2.75,4.5,4.25,2.5
perhap propnam put get halloween costum long realli way help find awesom costum idea,2.25,2.75,4.5,4.25,2.5
happi halloween almost timet make snack parti tonight,2.25,2.75,4.5,4.25,2.5
carv pumpkin propnamepictur come soon,2.25,2.75,4.5,4.25,2.5
shoot punch stuff borderland,2.25,2.75,4.5,4.25,2.5
heard commerci radio pill lower cholesterol actual said high cholesterol due poor diet lack exercis need tri actual need tri improv diet exercis bit first crazi thought,2.25,2.75,4.5,4.25,2.5
happi new hard drive instal yay,2.25,2.75,4.5,4.25,2.5
pretti sure im come whatev propnam consid fold load towel feel complet drain good news tv work,2.25,2.75,4.5,4.25,2.5
good night watch tv head bed,2.25,2.75,4.5,4.25,2.5
make grub,2.25,2.75,4.5,4.25,2.5
happi ac work grrrr,2.25,2.75,4.5,4.25,2.5
finish watch ugli truth cute movi,2.25,2.75,4.5,4.25,2.5
cold,2.25,2.75,4.5,4.25,2.5
finish watch dear zachari letter father son pretti good documentari emotionali suggest tissu nearbi,2.25,2.75,4.5,4.25,2.5
plan sit couch watch movi day,2.25,2.75,4.5,4.25,2.5
almost time make white chicken chili cheddar jalepeno hushpuppi crust go even better usual caus final fall weather,2.25,2.75,4.5,4.25,2.5
saw commerci rihanna 2020 interview ordeal propnameisnt conveni final abl talk interview air day new album come,2.25,2.75,4.5,4.25,2.5
watch propos propnam propnameeven movi crap wont total wast,2.25,2.75,4.5,4.25,2.5
excit helicopt shape cooki cutter,2.25,2.75,4.5,4.25,2.5
mmm peppermint mocha coffe creamer,2.25,2.75,4.5,4.25,2.5
onlin christma shop,2.25,2.75,4.5,4.25,2.5
doesnt know make fact base interest tv show like brotherhood californ netflix recommend section dysfunct famili drama includ dexter rescu show watch oh netflix know well,2.25,2.75,4.5,4.25,2.5
sure repairman fiddl yesterday get warm air come heater im pretti sure heat still work quit right consid run 8 hour thermostat set 72 still 65 hous coolno cold air blast ventsand ye heat ac,2.25,2.75,4.5,4.25,2.5
wasnt impress take pelham 123 although amus propnam charact talk girl took icelanda lithuanian ass model name lavitika ha,2.25,2.75,4.5,4.25,2.5
happi new work directv box open guid switch channel without freezingand dvr work go back wait minut show start watch fast forward commerci,2.25,2.75,4.5,4.25,2.5
get excit decor christma head get tree fun stuff,2.25,2.75,4.5,4.25,2.5
gym tri cant think valid reason go plu leg arent sore yesterday thank later,2.25,2.75,4.5,4.25,2.5
happili watch pixar short film abc famili dvr record propnam anoth channel oh im drink pumpkin spice coffe life good,2.25,2.75,4.5,4.25,2.5
happi thanksgiv everybodi im thank friend share thanksgiv time make yummi food share later,2.25,2.75,4.5,4.25,2.5
make spaghetti sauc yum,2.25,2.75,4.5,4.25,2.5
cold curl couch rest,2.25,2.75,4.5,4.25,2.5
blue,2.25,2.75,4.5,4.25,2.5
thank birthday wish yesterday great day,2.25,2.75,4.5,4.25,2.5
cant believ got new wii fit plu game lot fun new game featur howev use wii fit month decid fit test stuff mesinc last time 29 lb still healthi weight bmi wii age 54 propnam 86lb reccommend healthi weight gain 6lb wii age 32 posit side lost 5 8 lb gain holiday,2.25,2.75,4.5,4.25,2.5
annoy state la send notic car polici cancel 11202009 even though renew date lost info insur compani sentoh took 2 month someth grumpi fix talk rep progress friendli talk like less annoy version girl commerci thank propnam,2.25,2.75,4.5,4.25,2.5
take propnam vet annual checkup know good alway feel bit bad hate much,2.25,2.75,4.5,4.25,2.5
dear louisiana offic motor vehicl employe understand probabl get stuck deal stupid annoy peopl regular basi doesnt mean rude everyon especi friendli peopl like darn,2.25,2.75,4.5,4.25,2.5
hour long workout im tri convinc vacuum hous,2.25,2.75,4.5,4.25,2.5
funni everi time spell word phone use exampl undoubtedli draw blank sound like complet idiot today spell bosss last name attorney said ye that g in10 second lapseummmgooni,2.25,2.75,4.5,4.25,2.5
recoop work caught clean bug,2.25,2.75,4.5,4.25,2.5
make sweet potato split pea soup hope good,2.25,2.75,4.5,4.25,2.5
cant believ amount mosquito outsid alreadi boo,2.25,2.75,4.5,4.25,2.5
oh let watch anim cop show end feel mix sad anim almost rage toward peopl involv,2.25,2.75,4.5,4.25,2.5
set calori goal wii fit tonight piec fri chickenturn take lot work burn piec fri chicken,2.25,2.75,4.5,4.25,2.5
enjoy morn shower one stupid saint remix came radio im kind thing actual go game im sick hear regular rotat radio,2.25,2.75,4.5,4.25,2.5
bit meanbut damn funni sarchasm gulf author sarcast wit person doesnt get,2.25,2.75,4.5,4.25,2.5
watch movi,2.25,2.75,4.5,4.25,2.5
finish play wii fit plu burn ice cream cone worth calori ok eat ice cream right kid,2.25,2.75,4.5,4.25,2.5
accident click wrong button page sorri send farmvil thing everyon,2.25,2.75,4.5,4.25,2.5
feminin version name propnam mean woman basic never print magnet mug souvenir paraphernalia often mistaken propnam propnam propnam propnam propnam name propnam propnam dammit urbandictionarycom type first name copi past first entri,2.25,2.75,4.5,4.25,2.5
bed hope woken thing flap crash crazi wind outsid side go 6070 rang next week,2.25,2.75,4.5,4.25,2.5
feel bad sick boyfriend know feel realli crappi caus he sit still play videogam,2.25,2.75,4.5,4.25,2.5
think might time nap,2.25,2.75,4.5,4.25,2.5
work dont want 3 day,2.25,2.75,4.5,4.25,2.5
doesnt think chang facebook realli need honestli im annoy complaint ive seen get free mean everi deal new layout welldeal,2.25,2.75,4.5,4.25,2.5
start make delici snack enjoy watch superbowl later,2.25,2.75,4.5,4.25,2.5
home lockport mardi gra parad readi nap,2.25,2.75,4.5,4.25,2.5
realli wish old doctor offic would learn math dont appreci get rather larg bill amount bsbc alreadi paid oh thank put 120 day slot get stress stupid part result bad outcom,2.25,2.75,4.5,4.25,2.5
wonder sick bon jovi sing song,2.25,2.75,4.5,4.25,2.5
like new spartan footbal promo video im exit footbal season,3.75,2.0,5.0,4.25,4.5
5 page new favorit phrase,3.75,2.0,5.0,4.25,4.5
one page left edit 24 hour till paper due score,3.75,2.0,5.0,4.25,4.5
sad tetri work,3.75,2.0,5.0,4.25,4.5
desper need social life,3.75,2.0,5.0,4.25,4.5
hate write paper,3.75,2.0,5.0,4.25,4.5
hmmmi uninstal 1 tini program internet symantec work oh well mayb comput die,3.75,2.0,5.0,4.25,4.5
kiawah island amaz vacat favorit person,3.75,2.0,5.0,4.25,4.5
2 paper done time last edit readthrough mommi,3.75,2.0,5.0,4.25,4.5
yay band camp cant wait friday,3.75,2.0,5.0,4.25,4.5
frustrat displeas way next week shape mailmsuedu doesnt make situat better im send complaint,3.75,2.0,5.0,4.25,4.5
think would nice car p,3.75,2.0,5.0,4.25,4.5
back mi,3.75,2.0,5.0,4.25,4.5
home oc,3.75,2.0,5.0,4.25,4.5
way excit new moon,3.75,2.0,5.0,4.25,4.5
somehow bs 5 page scientif paper frustratingli inconclus field project sourc cite fml,3.75,2.0,5.0,4.25,4.5
le tire,3.75,2.0,5.0,4.25,4.5
miss everyon el cant wait preseason,3.75,2.0,5.0,4.25,4.5
think time day mailmsuedu stupidli slow,3.75,2.0,5.0,4.25,4.5
excit freshman dress,3.75,2.0,5.0,4.25,4.5
one week summer pleas,3.75,2.0,5.0,4.25,4.5
yay clean laundri,3.75,2.0,5.0,4.25,4.5
excit gameday tomorrow go state,3.75,2.0,5.0,4.25,4.5
toga toga toga,3.75,2.0,5.0,4.25,4.5
3 week alreadi tire read,3.75,2.0,5.0,4.25,4.5
mostli unpack move,3.75,2.0,5.0,4.25,4.5
home readi back real world yet,3.75,2.0,5.0,4.25,4.5
go state beat badger,3.75,2.0,5.0,4.25,4.5
love smb,3.75,2.0,5.0,4.25,4.5
still wait mailmsuedu excit move new apart sunday,3.75,2.0,5.0,4.25,4.5
need anoth weekend,3.75,2.0,5.0,4.25,4.5
back el call,3.75,2.0,5.0,4.25,4.5
think best thing ever happen hot chocol propnam special dark cocoa powder,3.75,2.0,5.0,4.25,4.5
move new apart el,3.75,2.0,5.0,4.25,4.5
great weekend readi class tomorrow,3.75,2.0,5.0,4.25,4.5
final finish paper still need edit least done,3.75,2.0,5.0,4.25,4.5
cant wait later tonight,3.75,2.0,5.0,4.25,4.5
long day fun night ahead,3.75,2.0,5.0,4.25,4.5
tire tire tire come danc parti sparti watch tonight 8midnight,3.75,2.0,5.0,4.25,4.5
need find someon live next year,3.75,2.0,5.0,4.25,4.5
apathet,3.75,2.0,5.0,4.25,4.5
excit weekend lake friend,3.75,2.0,5.0,4.25,4.5
need find good place nap,3.75,2.0,5.0,4.25,4.5
midnight mad hour sleep spartan footbal,3.75,2.0,5.0,4.25,4.5
go state beat wildcat,3.75,2.0,5.0,4.25,4.5
best way relax crazi morn blanket chopin,3.75,2.0,5.0,4.25,4.5
good weekend tire,3.75,2.0,5.0,4.25,4.5
love bid night,3.75,2.0,5.0,4.25,4.5
doesnt want write paper,3.75,2.0,5.0,4.25,4.5
blah blah blahblah blah blah blah,3.75,2.0,5.0,4.25,4.5
came campu studi forgot headphon suppos memor music without headphon,3.75,2.0,5.0,4.25,4.5
procrastin get troubl one day p,3.75,2.0,5.0,4.25,4.5
spartan spooktacular 8pm kickoff gofer halloween,3.75,2.0,5.0,4.25,4.5
bore bore borednot readi thursday dont 2 tune memor,3.75,2.0,5.0,4.25,4.5
drunk msu fan bike home game oh band fag come dont like swear bite tongu keep either flick simpli say fuck,3.75,2.0,5.0,4.25,4.5
today saw old woman walk across bridg sparti wear bright aqua color shirt right behind colleg guy wear tshirt exact hue made smile p,3.75,2.0,5.0,4.25,4.5
get wednesday 230 pm im home free,3.75,2.0,5.0,4.25,4.5
name appropri propnam mean industriouslabor,3.75,2.0,5.0,4.25,4.5
auto tune news best way wast time p,3.75,2.0,5.0,4.25,4.5
think conscienti spell phonet mayb like conchienchousp,3.75,2.0,5.0,4.25,4.5
confus two differ kind news feed,3.75,2.0,5.0,4.25,4.5
sure want done yet go state beat lion love senior buddi hope everyon readi sobfest,3.75,2.0,5.0,4.25,4.5
would like 24 hour day,3.75,2.0,5.0,4.25,4.5
go state beat lion,3.75,2.0,5.0,4.25,4.5
love group project especi 90 work awesom,3.75,2.0,5.0,4.25,4.5
think may walk class morn still love snow,3.75,2.0,5.0,4.25,4.5
found perfect internship free hous food stipend work zoo 40 hour week get first hand look veterinari stuff hope year hope get,3.75,2.0,5.0,4.25,4.5
hate write paper dont know english major,3.75,2.0,5.0,4.25,4.5
amaz yet utterli unproduct weekend p,3.75,2.0,5.0,4.25,4.5
realiz mani projectspap due next 4 week eek,3.75,2.0,5.0,4.25,4.5
doesnt feel like work sleep,3.75,2.0,5.0,4.25,4.5
great night plan state 5th concert fun night favorit old roomi,3.75,2.0,5.0,4.25,4.5
one final left im done,3.75,2.0,5.0,4.25,4.5
done write paper edit start studi final,3.75,2.0,5.0,4.25,4.5
tengo un gato know anyon live berrytre black cat miss,3.75,2.0,5.0,4.25,4.5
1 12 page donethi thing need 10,3.75,2.0,5.0,4.25,4.5
girl 1 eeew blue jiggli girl 2 cant get heard today propnam cafeteria relat jello p,3.75,2.0,5.0,4.25,4.5
hope evolut final goe well tetri game p,3.75,2.0,5.0,4.25,4.5
kinda hope final go well game tetri p,3.75,2.0,5.0,4.25,4.5
home oc,3.75,2.0,5.0,4.25,4.5
sent kitti home kinda fun kitti cat day,3.75,2.0,5.0,4.25,4.5
cooki dough glee pack go home great afternoon,3.75,2.0,5.0,4.25,4.5
shindig hous 7 call direct,3.75,2.0,5.0,4.25,4.5
wish everyon merri christma propnam,3.75,2.0,5.0,4.25,4.5
bookfac hack muahahahahaha,3.75,2.0,5.0,4.25,4.5
cant wait go texa,3.75,2.0,5.0,4.25,4.5
doesnt want studi anymor,3.75,2.0,5.0,4.25,4.5
love languag prefer english pirat arrrrggg matey,3.75,2.0,5.0,4.25,4.5
go chicago,3.75,2.0,5.0,4.25,4.5
love snow,3.75,2.0,5.0,4.25,4.5
think monday wednesday friday semest go awesom environment physiolog seem like great class,3.75,2.0,5.0,4.25,4.5
pretti mighti senior apathi right bought class ring today,3.75,2.0,5.0,4.25,4.5
back el readi start class yet,3.75,2.0,5.0,4.25,4.5
cant wait today ill applic mail texa,3.75,2.0,5.0,4.25,4.5
pierc ear cant swim 2 month sound like im go get know treadmil realli well p,3.75,2.0,5.0,4.25,4.5
got best internship ever ill spend 5 week summer shadow learn zoo vet seneca zoo rochest ny,3.75,2.0,5.0,4.25,4.5
dinner propnam im final get ear pierc,3.75,2.0,5.0,4.25,4.5
go state beat bobcat,3.75,2.0,5.0,4.25,4.5
cant believ wore favorit bracelet ring 3rd degre today real turquois silver come home realiz lost stone bracelet anyon seen pleas let know,3.75,2.0,5.0,4.25,4.5
snow kentucki guess time biennial snowstorm,3.75,2.0,5.0,4.25,4.5
think doesnt find faster way get read homework done semest go crazi,3.75,2.0,5.0,4.25,4.5
need focu,3.75,2.0,5.0,4.25,4.5
think need spontan life last night much fun go uofm whim see old friend,3.75,2.0,5.0,4.25,4.5
worri saw new facebook layout page figur get tetri ridicul addict game p,3.75,2.0,5.0,4.25,4.5
think breakcom best websit ever,3.75,2.0,5.0,4.25,4.5
listen mice play chat ceil,3.75,2.0,5.0,4.25,4.5
go state woot second year row noth could make day better,3.75,2.0,5.0,4.25,4.5
sleep,3.75,2.0,5.0,4.25,4.5
unlimit text yessssss,3.75,2.0,5.0,4.25,4.5
snow,3.75,2.0,5.0,4.25,4.5
think sleepwalk last nighti dont rememb wear went bed,3.75,2.0,5.0,4.25,4.5
know ive busi havent play tetri 3 day p,3.75,2.0,5.0,4.25,4.5
go read textbook rest life 1 chapter neurobio left 2 chapter catch euk cell bio 23 environment phi oh goodi,3.75,2.0,5.0,4.25,4.5
ahhhhh best surpris ever,3.3,1.9,3.65,3.5,4.05
soooooooooooooo sick,3.3,1.9,3.65,3.5,4.05
genevageneva geneva pay bu ticket back nyc,3.3,1.9,3.65,3.5,4.05
yeay squamish,3.3,1.9,3.65,3.5,4.05
thank birthday wish,3.3,1.9,3.65,3.5,4.05
hope gonna rain today next week ever,3.3,1.9,3.65,3.5,4.05
thank birthday wish madison beach 630 everyth casual,3.3,1.9,3.65,3.5,4.05
excit propnam awesom pic yesterday,3.3,1.9,3.65,3.5,4.05
think im healthi,3.3,1.9,3.65,3.5,4.05
oh life,3.3,1.9,3.65,3.5,4.05
drive mosel luxembourg catch earli bird tomo baaarthelooona yippe,3.3,1.9,3.65,3.5,4.05
7 day count,3.3,1.9,3.65,3.5,4.05
barcelona simpli amaz,3.3,1.9,3.65,3.5,4.05
second make thing wors alreadi,3.3,1.9,3.65,3.5,4.05
dr horribl blog remind theme wick sooo goood,3.3,1.9,3.65,3.5,4.05
vancouv wednesday night ye,3.3,1.9,3.65,3.5,4.05
stoke weekend marbl canyon come,3.3,1.9,3.65,3.5,4.05
chase steeeeaahlight,2.1,2.7,3.4,2.05,3.65
get fat nooooowwwwwwww,2.1,2.7,3.4,2.05,3.65
today goal wash put away dish utensil casita 8 oh snap,2.1,2.7,3.4,2.05,3.65
listen chines metal curios interest,2.1,2.7,3.4,2.05,3.65
sir know,2.1,2.7,3.4,2.05,3.65
got goin,2.1,2.7,3.4,2.05,3.65
fear loss that,2.1,2.7,3.4,2.05,3.65
found littl piec popcorn chicken fri fish ball crunchi mlia,2.1,2.7,3.4,2.05,3.65
must stop impuls visit site rememb minut ago might help,2.1,2.7,3.4,2.05,3.65
make fun,2.1,2.7,3.4,2.05,3.65
sac airport final got new pa announc,2.1,2.7,3.4,2.05,3.65
dad place,2.1,2.7,3.4,2.05,3.65
someon,2.1,2.7,3.4,2.05,3.65
ev train know yeahshoot,2.1,2.7,3.4,2.05,3.65
power love selfcontrol,2.1,2.7,3.4,2.05,3.65
bot take,2.1,2.7,3.4,2.05,3.65
im captain basch fon ronsenburg dalmasca,2.1,2.7,3.4,2.05,3.65
chocol snowsom stay warm other feel cold,2.1,2.7,3.4,2.05,3.65
third molar,2.1,2.7,3.4,2.05,3.65
new old game,2.1,2.7,3.4,2.05,3.65
want deaf hell use sign languag hell commun directli,2.1,2.7,3.4,2.05,3.65
viridian cerulean saffron fuchsia good stuff,2.1,2.7,3.4,2.05,3.65
got,2.1,2.7,3.4,2.05,3.65
noth lab ta mess turn yeast spheroplast time good true,2.1,2.7,3.4,2.05,3.65
hope vain sunshin,3.75,2.35,3.7,4.0,4.2
find good mix farm social kill monster therapeut,3.75,2.35,3.7,4.0,4.2
sick,3.75,2.35,3.7,4.0,4.2
sick badli,3.75,2.35,3.7,4.0,4.2
believ summer inde arriv,3.75,2.35,3.7,4.0,4.2
excit mural paint,3.75,2.35,3.7,4.0,4.2
final complet upload alaska pictur,3.75,2.35,3.7,4.0,4.2
feel old watch sixth harri potter movi,3.75,2.35,3.7,4.0,4.2
paint mural,3.75,2.35,3.7,4.0,4.2
back alaska,3.75,2.35,3.7,4.0,4.2
work new profil pic e28,3.75,2.35,3.7,4.0,4.2
fun work,3.75,2.35,3.7,4.0,4.2
feel odd,3.75,2.35,3.7,4.0,4.2
never realiz boston fashion week,3.75,2.35,3.7,4.0,4.2
look forward sunni saturday park,3.75,2.35,3.7,4.0,4.2
prove awesom pick paint color,3.75,2.35,3.7,4.0,4.2
need buy newer karaok song,3.75,2.35,3.7,4.0,4.2
join harvard ballroom team,3.75,2.35,3.7,4.0,4.2
busi watch castl last night fashion murder mayhem upload pic,3.75,2.35,3.7,4.0,4.2
clearli need transfer new pictur camera comput,3.75,2.35,3.7,4.0,4.2
sad discov 8 hour sleep need keep older bodi go,3.75,2.35,3.7,4.0,4.2
leav work downtim danc,3.75,2.35,3.7,4.0,4.2
castl shop,3.75,2.35,3.7,4.0,4.2
feel satisfi life first bigday long time,3.75,2.35,3.7,4.0,4.2
look forward homecom weekend,3.75,2.35,3.7,4.0,4.2
amaz friend ever,3.75,2.35,3.7,4.0,4.2
dislik utterli miser weather outsid,3.75,2.35,3.7,4.0,4.2
realiz probabl cant afford stay alivewis pig sweet around harvard squar everytim danc practic,3.75,2.35,3.7,4.0,4.2
like sick,3.75,2.35,3.7,4.0,4.2
amherst,3.75,2.35,3.7,4.0,4.2
see peopl republ china turn 60 today find mom birthday import,3.75,2.35,3.7,4.0,4.2
super excit merlin season 2 start,3.75,2.35,3.7,4.0,4.2
brighten day,3.75,2.35,3.7,4.0,4.2
long excit work day,3.75,2.35,3.7,4.0,4.2
want sunshin,3.75,2.35,3.7,4.0,4.2
doctor sickso prepar pain need anoth two week,3.75,2.35,3.7,4.0,4.2
readi kick bacteria butt,3.75,2.35,3.7,4.0,4.2
want propnam dress cma,3.75,2.35,3.7,4.0,4.2
rake leav weekend,3.75,2.35,3.7,4.0,4.2
want buffalo chicken chowder lunch,3.75,2.35,3.7,4.0,4.2
wish warm sunni blue sky wispi cloud seem indic,3.75,2.35,3.7,4.0,4.2
scare weather tomorrow,3.75,2.35,3.7,4.0,4.2
sill isnt friend flue vaccin,3.75,2.35,3.7,4.0,4.2
subsuboptim,3.75,2.35,3.7,4.0,4.2
use excel combin juic calori tip balanc sick health,3.75,2.35,3.7,4.0,4.2
want know boston want see avenu q,3.75,2.35,3.7,4.0,4.2
actual work facebook trick press left right left right b enter key right click press magic circl appear put statu work,3.75,2.35,3.7,4.0,4.2
need reset recent bout fail western clearli indic bug system,3.75,2.35,3.7,4.0,4.2
readi baltimor baltimor readi hua mayb,3.75,2.35,3.7,4.0,4.2
cannot speak due throat pain bring back memori first day school ramapo middl hope time wont racial slur thrown around,3.75,2.35,3.7,4.0,4.2
get visit baltimor aquarium,3.75,2.35,3.7,4.0,4.2
invit feel magic holiday visit harri potter exhibit museum scienc boston dec 12 sat,3.75,2.35,3.7,4.0,4.2
look face camera cord,3.75,2.35,3.7,4.0,4.2
know flu vaccin friend,3.75,2.35,3.7,4.0,4.2
speak long ignor occasion bout sever cough,3.75,2.35,3.7,4.0,4.2
need wii fit plu order stay shape danc ye count,3.75,2.35,3.7,4.0,4.2
wont wisdom teeth left 24 hour,3.75,2.35,3.7,4.0,4.2
thank kind soul turn wallet dislik whoever took 100 holiday shop look lot less happi,3.75,2.35,3.7,4.0,4.2
feel 70 stop let work get delay happi,3.75,2.35,3.7,4.0,4.2
look walletb bath beyond shoppersemployeespleas kind save ravag go back shop t_t,3.75,2.35,3.7,4.0,4.2
thank propnam propnam gorgeou addit especi person jacket she show work today closet giant hole wallet 3,3.75,2.35,3.7,4.0,4.2
land boston back work,3.75,2.35,3.7,4.0,4.2
wish awesom new year full laughter joy,3.75,2.35,3.7,4.0,4.2
sad she shorter shortest semifinalist cycl 13 antm propnam french accent scari,3.75,2.35,3.7,4.0,4.2
wish experi would work she lab especi she stay past normal go home time,3.75,2.35,3.7,4.0,4.2
must eat lot sticki crunchi food thursday morn,3.75,2.35,3.7,4.0,4.2
rehaul facebookwarningwarninginform photo may disappear,3.75,2.35,3.7,4.0,4.2
go eat ice cream cake lunch,3.75,2.35,3.7,4.0,4.2
28 teeth left rate loss 2decad shell toothless age 160not bad current cannot grinsmil,3.75,2.35,3.7,4.0,4.2
sing christma song,3.75,2.35,3.7,4.0,4.2
hungri,3.75,2.35,3.7,4.0,4.2
go see chines danc futur,3.75,2.35,3.7,4.0,4.2
alreadi hard work,3.75,2.35,3.7,4.0,4.2
rewatch first half knock knock love portion worth watch,3.75,2.35,3.7,4.0,4.2
sore muscl danc hard weekend,3.75,2.35,3.7,4.0,4.2
want nap,3.75,2.35,3.7,4.0,4.2
final made part iii propnam immunobiolog book,3.75,2.35,3.7,4.0,4.2
believ bad thing come three proverb,3.75,2.35,3.7,4.0,4.2
super excit first day danc practic,3.75,2.35,3.7,4.0,4.2
awe 30 minut tripl ram 3,3.75,2.35,3.7,4.0,4.2
keep lab notebook uptod,3.75,2.35,3.7,4.0,4.2
hasnt yet watch week episod castl thu fail life,3.75,2.35,3.7,4.0,4.2
must work hard today go home super heavi snowfal start,3.75,2.35,3.7,4.0,4.2
plan visit orlando harri potter sun april long weekend go patriot day,3.75,2.35,3.7,4.0,4.2
first day work rough nice rough,2.9,3.75,3.15,3.35,4.75
hate person downstair im tri work dont need sing vocales your gargl sink mean realli,2.9,3.75,3.15,3.35,4.75
iphon 30 releas day late fu,2.9,3.75,3.15,3.35,4.75
3 propnam ginger candi,2.9,3.75,3.15,3.35,4.75
mad fair end mud anyth els,2.9,3.75,3.15,3.35,4.75
mad store wonton roll fri springrol wrapper work,2.9,3.75,3.15,3.35,4.75
motorola s305,2.9,3.75,3.15,3.35,4.75
gf like everyth appar,2.9,3.75,3.15,3.35,4.75
set mobil router way easier thought would,2.9,3.75,3.15,3.35,4.75
bad person,2.9,3.75,3.15,3.35,4.75
world rock ht820,2.9,3.75,3.15,3.35,4.75
amaz effect individu updat get rid possess singl photo album two piec furnitur go,2.9,3.75,3.15,3.35,4.75
final rememb mean summertim friday night,2.9,3.75,3.15,3.35,4.75
awesom 4th,2.9,3.75,3.15,3.35,4.75
talk guy today convinc chemic engin mix element make thing use chemic might make sens didnt mean liter oh well,2.9,3.75,3.15,3.35,4.75
want free stuff get rid less move dresser coat rack shelv desk bathroom stereo realli peopl your favor take,2.9,3.75,3.15,3.35,4.75
set network print even though everyon said imposs ha,2.9,3.75,3.15,3.35,4.75
want free tv pleas come take,2.9,3.75,3.15,3.35,4.75
im still mad got jazz band good one even cant thermo first temr colleg get play music grawwwwwwwwww,2.9,3.75,3.15,3.35,4.75
made eggrol right way,2.9,3.75,3.15,3.35,4.75
free shelv,2.9,3.75,3.15,3.35,4.75
3s feed time aquarium,2.9,3.75,3.15,3.35,4.75
sick remov quiz result news feed pleas friend share one reeeeaaaaaaali like,2.9,3.75,3.15,3.35,4.75
know grad school effect read vend machin select cnaught mmm ritz bit,2.9,3.75,3.15,3.35,4.75
got drunk german suit mayb there someth grad dorm,2.9,3.75,3.15,3.35,4.75
tea,2.9,3.75,3.15,3.35,4.75
westbound mass pike see sign springfield albani almost like oregon,2.9,3.75,3.15,3.35,4.75
next term ill lab get scienc everi day cube get homework everi day,2.9,3.75,3.15,3.35,4.75
im sorri manomet devic goe propnam nearbi,2.9,3.75,3.15,3.35,4.75
sure hope ventur bro goe season 5,2.9,3.75,3.15,3.35,4.75
split raw almond mouth halv complet smooth insid never lose novelti,2.9,3.75,3.15,3.35,4.75
thought everyon might like know vote biggest nerd che,2.9,3.75,3.15,3.35,4.75
damn feeder valv keep clog,2.9,3.75,3.15,3.35,4.75
lhc 2 beam woooooo,2.9,3.75,3.15,3.35,4.75
whaaaat actual like avatar,2.9,3.75,3.15,3.35,4.75
find frustrat non friend post pictur friend leav without option leav snarki comment grumbl,2.9,3.75,3.15,3.35,4.75
itll take lot convinc ill even think watch caprica reimagin battlestar kma might chang mind writter demonstr theyr capabl keep plot detail straight whole seri thought anyon,2.9,3.75,3.15,3.35,4.75
highli reccommend propnam propnam rule,2.9,3.75,3.15,3.35,4.75
woot one craigslist adventur one go,2.9,3.75,3.15,3.35,4.75
wonder peopl dont say twenti ten,2.9,3.75,3.15,3.35,4.75
damn boxcutt,2.9,3.75,3.15,3.35,4.75
got jazz band rehears 230 bu home get horn much get work done today,2.9,3.75,3.15,3.35,4.75
high swing danc cept realli late,2.9,3.75,3.15,3.35,4.75
imposs sit tub shower feel emo,2.9,3.75,3.15,3.35,4.75
wow campu eye doctor realli fast go umass,2.9,3.75,3.15,3.35,4.75
broke 900 piec equip today sigh live learn,2.9,3.75,3.15,3.35,4.75
woo new glass readi next week,2.9,3.75,3.15,3.35,4.75
went skateboard first time life itll day practic make campu,2.9,3.75,3.15,3.35,4.75
realiz lot easier breath dont live grassse capit world,2.9,3.75,3.15,3.35,4.75
save wolfram alpha,2.9,3.75,3.15,3.35,4.75
glad propnam taken respons happen dont worri propnam im mad,2.8,1.6,3.65,3.25,4.15
miss ithacan winter hot weather suck chicago better freezer,2.8,1.6,3.65,3.25,4.15
play quidditch awesom,2.8,1.6,3.65,3.25,4.15
holi crap propnam reward program let get free chocol store everi month awesom,2.8,1.6,3.65,3.25,4.15
start job tomorrow goodby freetimesvil hello moneytown station,2.8,1.6,3.65,3.25,4.15
cant help smile,2.8,1.6,3.65,3.25,4.15
like new job far cours kid yet arriv,2.8,1.6,3.65,3.25,4.15
name im say symptom awesom day,2.8,1.6,3.65,3.25,4.15
go miss,2.8,1.6,3.65,3.25,4.15
dream come true last night dreamt eat cinnamon bun today ate cinnamon bun,2.8,1.6,3.65,3.25,4.15
know tie hous togeth world revolv around us,2.8,1.6,3.65,3.25,4.15
lead activ date etiquettewish luck,2.8,1.6,3.65,3.25,4.15
sad weekend cant wait sunday 7pm,2.8,1.6,3.65,3.25,4.15
go nuke site orbit way sure,2.8,1.6,3.65,3.25,4.15
get paperbefor monster right,2.8,1.6,3.65,3.25,4.15
think hell start prussiastyl diari statu updat remind choic final act upon,2.8,1.6,3.65,3.25,4.15
current preptast,2.8,1.6,3.65,3.25,4.15
hey rhode island friend rock provid what best italian place citi,2.8,1.6,3.65,3.25,4.15
sick start letter dear friend dear im use differ adject antiestablish propnam sign propnam screw convent,2.8,1.6,3.65,3.25,4.15
done hooray,2.8,1.6,3.65,3.25,4.15
want asleep isnt damn notterr work ethic,2.8,1.6,3.65,3.25,4.15
go research reactor tomorrow yay,2.8,1.6,3.65,3.25,4.15
think tonight old colleg town,2.8,1.6,3.65,3.25,4.15
set tomorrow,2.8,1.6,3.65,3.25,4.15
impress ad side fb get relev without offens sofin ive got ad book like band like movi anim like yay,2.8,1.6,3.65,3.25,4.15
grew bolder day day,2.8,1.6,3.65,3.25,4.15
